grid_ei5c_id,ei5c_id,grid_ref_id,grid_type_id
1,AAV_28.1441_D_491965_168317_02_03_2007_15_07_36,(53.8000_-1.7500),1
2,AAV_28.1441_D_491965_168318_02_03_2007_15_07_36,(53.8000_-1.7500),1
3,AAV_28.1441_D_491965_168319_02_03_2007_15_07_36,(53.8000_-1.7500),1
